request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=140791&c-t-p=2,c-t-id,140791,"BOEHNER, JOHN A",c-t-eid,10184574,"BOEHNER, JOHN A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2012,2012,c-r-t,1,Standard,c-r-osid,15280,"US HOUSE DISTRICT OH 008",c-t-ico,I,Incumbent,30011,34104654.92
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=221580&c-t-p=1,c-t-id,221580,"OSSOFF, THOMAS JONATHAN (JON)",c-t-eid,43492014,"OSSOFF, THOMAS JONATHAN (JON)",c-t-ftsts,"Lost-General Runoff","Lost-General Runoff",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,GA,GA,y,2017,2017,c-r-t,3,Special,c-r-osid,15094,"US HOUSE DISTRICT GA 006",c-t-ico,O,Open,168584,29517849.79
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=171915&c-t-p=2,c-t-id,171915,"BOEHNER, JOHN A",c-t-eid,10184574,"BOEHNER, JOHN A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2014,2014,c-r-t,1,Standard,c-r-osid,15280,"US HOUSE DISTRICT OH 008",c-t-ico,I,Incumbent,14482,19991499.15
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=211083&c-t-p=2,c-t-id,211083,"RYAN, PAUL D",c-t-eid,7432657,"RYAN, PAUL D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2016,2016,c-r-t,1,Standard,c-r-osid,15398,"US HOUSE DISTRICT WI 001",c-t-ico,I,Incumbent,50030,19800884.45
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=142087&c-t-p=2,c-t-id,142087,"WEST, ALLEN B",c-t-eid,12266050,"WEST, ALLEN B",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2012,2012,c-r-t,1,Standard,c-r-osid,15079,"US HOUSE DISTRICT FL 018",c-t-ico,I,Incumbent,42985,18995579.68
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141995&c-t-p=2,c-t-id,141995,"BACHMANN, MICHELE",c-t-eid,6597408,"BACHMANN, MICHELE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MN,MN,y,2012,2012,c-r-t,1,Standard,c-r-osid,15192,"US HOUSE DISTRICT MN 006",c-t-ico,I,Incumbent,33660,14715491.32
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160401&c-t-p=2,c-t-id,160401,"BACHMANN, MICHELE",c-t-eid,6597408,"BACHMANN, MICHELE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MN,MN,y,2010,2010,c-r-t,1,Standard,c-r-osid,15192,"US HOUSE DISTRICT MN 006",c-t-ico,I,Incumbent,39400,13664150.80
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=196881&c-t-p=1,c-t-id,196881,"TRONE, DAVID JOHN",c-t-eid,5631712,"TRONE, DAVID JOHN",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MD,MD,y,2016,2016,c-r-t,1,Standard,c-r-osid,15170,"US HOUSE DISTRICT MD 008",c-t-ico,O,Open,18,13420951.45
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227646&c-t-p=1,c-t-id,227646,"TRONE, DAVID JOHN",c-t-eid,5631712,"TRONE, DAVID JOHN",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MD,MD,y,2018,2018,c-r-t,1,Standard,c-r-osid,15168,"US HOUSE DISTRICT MD 006",c-t-ico,O,Open,373,11979370.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141006&c-t-p=3,c-t-id,141006,"BLOOMFIELD JR, WILLIAM E",c-t-eid,31606,"BLOOMFIELD JR, WILLIAM E",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,156,UNAFFILIATED,c-t-p,3,Third-Party,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,15028,"US HOUSE DISTRICT CA 033",c-t-ico,C,Challenger,418,11663344.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=214708&c-t-p=1,c-t-id,214708,"PERKINS, RANDY",c-t-eid,38420672,"PERKINS, RANDY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,FL,FL,y,2016,2016,c-r-t,1,Standard,c-r-osid,15079,"US HOUSE DISTRICT FL 018",c-t-ico,O,Open,352,10838957.63
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160134&c-t-p=2,c-t-id,160134,"BOEHNER, JOHN A",c-t-eid,10184574,"BOEHNER, JOHN A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2010,2010,c-r-t,1,Standard,c-r-osid,15280,"US HOUSE DISTRICT OH 008",c-t-ico,I,Incumbent,10712,10505496.29
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=202189&c-t-p=2,c-t-id,202189,"MCCARTHY, KEVIN",c-t-eid,331199,"MCCARTHY, KEVIN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15018,"US HOUSE DISTRICT CA 023",c-t-ico,I,Incumbent,3073,9732521.06
